experiment_id,num_robots,num_obstacles,delta_threshold,t0_reward,t1_reward,t2_reward,t3_reward,improvement_t0_to_t3
1,8,2,0.75,0.25886517072177967,0.5146186367118153,0.674623902103016,0.9255379664129777,0.666672795691198
2,8,2,0.75,0.24142533505221497,0.642781356494886,0.8866289262745679,0.901072279880693,0.6596469448284781
3,8,2,0.75,0.2528333930023221,0.62418360380309,nan,nan,nan
