swarm_size,experiment,t0,t1,t2,t3,improvement
2,1,0.2471456899246039,0.8998500628529906,0.9712460774880384,0.9754233216479387,0.7282776317233348
2,2,0.22534584974925387,0.5468661924315099,0.5711973911990742,0.9148938930875471,0.6895480433382932
2,3,0.2559767349725806,0.7841441496391027,0.8624934755077888,0.8667666114959305,0.6107898765233499
2,4,0.2664119807753635,0.6840804358891996,0.6926460471568595,0.9324620636614926,0.6660500828861291
2,5,0.23916119164213734,0.6000516986277996,0.9115367115275972,0.925105650590694,0.6859444589485567
2,6,0.22761751150658704,0.8012031816200242,0.9552850245540024,0.9573480138460051,0.729730502339418
2,7,0.24897624196877127,0.6933851756340697,0.8975458192664033,0.8983388991127312,0.6493626571439599
2,8,0.2532503554548604,0.5300500467002927,0.7741104157809837,0.8304434911907816,0.5771931357359212
2,9,0.23349079014468127,0.629566822630391,0.9052999879600009,,
2,10,0.2394249869489044,0.44186101967557384,0.6157983635286116,0.8217810065050503,0.5823560195561459
3,1,0.2598224114215003,0.8425883048073713,0.9157936390209943,0.9207798282637589,0.6609574168422586
3,2,0.2517302153505197,0.6720403763988853,0.8094489489659233,0.8085739542084189,0.5568437388578993
3,3,0.2419191665286622,0.521442358638704,0.816027488972956,0.8273716577619649,0.5854524912333027
3,4,0.23931995034129636,0.5645093766120388,0.808947708614613,0.8160442188841115,0.5767242685428151
3,5,0.25993604524240527,0.3757553953420596,0.6359189150173487,0.8616367952138075,0.6017007499714022
3,6,0.25125434010194375,0.7654136021211754,0.8718359345672299,0.889966442707065,0.6387121026051212
3,7,0.24219659304630806,0.5813818759960726,0.7151258571181621,0.9452841201217481,0.7030875270754401
3,8,0.23802393402398705,0.6694786160297431,,,
3,9,0.24577683425551336,0.6551247604650774,0.9679935018689741,0.9630627043910289,0.7172858701355156
3,10,0.2597818203607835,0.6327570763054348,0.7990314986631555,0.8046434131301963,0.5448615927694127
5,1,0.25812053123150325,0.6350393400587792,0.7999625971045489,0.8921733363410127,0.6340528051095095
5,2,0.2433309258589044,0.5077583094312452,0.773522224398777,0.9645721993994201,0.7212412735405157
5,3,0.2534580175697312,0.7753199826471149,0.8792686233098248,0.8817480954321197,0.6282900778623886
5,4,0.24656817111761214,0.5523909714852492,0.8550084404893932,0.8736159915131584,0.6270478203955463
5,5,0.260673687063204,0.4948919902869543,0.6221003733776569,0.9392750831061892,0.6786013960429853
5,6,0.2542227699882494,0.649795351634837,0.8933368237884647,0.8932381149381202,0.6390153449498708
5,7,0.2581587053830664,0.7117594828410612,0.8971247892168943,0.9102137076194661,0.6520550022363997
5,8,0.2542488977206048,0.5816016488285491,0.8350888480469753,0.8412484503058376,0.5869995525852327
5,9,0.22766846686060455,0.7018717472538254,0.9837042837120356,0.9804454391229619,0.7527769722623574
5,10,0.24896322703700635,0.747196934500954,0.8909798202613782,0.902867030891606,0.6539038038545997
10,1,0.2546097136415325,0.5952499791433679,0.8461647161576966,0.8622081631500423,0.6075984495085098
10,2,0.25815145318722854,0.643692584072457,0.9114491256896103,0.9100123718323537,0.6518609186451252
10,3,0.24383950179143704,0.5985753194571739,0.920158802688538,0.924425533937739,0.680586032146302
10,4,0.24901288047954293,0.6720103282812293,,,
10,5,0.2462243760437286,0.5475068432908393,0.8475471123061133,0.8555818465275141,0.6093574704837855
10,6,0.24971616675775726,0.5435951787057787,0.7883053337623785,,
10,7,0.2489757581125028,0.6446932335341511,0.8573094840932705,0.8767945752097578,0.627818817097255
10,8,0.2611604729578144,0.5469426666502424,0.9708058972436696,,
10,9,0.2573118877061847,0.6404313865653479,,0.8605766793257604,0.6032647916195757
10,10,0.24628345894010134,0.5933008867509917,0.8995454154832668,0.8917574670282784,0.6454740080881771
